,registro,classe_comercio,ano_mes,m3mensal
0,1,Volume de vendas do comércio varejista (5),202202,1.3
1,2,1. Combustíveis e lubrificantes,202202,0.1
2,3,"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",202202,2
3,4,2.1. Hipermercados e supermercados,202202,1.5
4,5,"3. Tecidos, vestuário e calçados",202202,8
5,6,4. Móveis e eletrodomésticos,202202,-12.6
6,7,4.1. Móveis,202202,-5.5
7,8,4.2. Eletrodomésticos,202202,-16.1
8,9,"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",202202,9.4
9,10,"6. Livros, jornais, revistas e papelaria",202202,18.5
10,11,"7. Equipamentos e materiais para escritório, informática e comunicação",202202,-7.2
11,12,8. Outros artigos de uso pessoal e doméstico,202202,1
12,13,Volume de vendas do comércio varejista ampliado (6),202202,0.3
13,14,"9. Veículos, motocicletas, partes e peças",202202,1.4
14,15,10. Material de construção,202202,-8
