,registro,UF,ano_mes,ano,mes,m3mensal
0,1,Brasil ,202203,2022,03,18.1
1,2,Rondônia,202203,2022,03,18.1
2,3,Acre,202203,2022,03,12.4
3,4,Amazonas,202203,2022,03,2.5
4,5,Roraima,202203,2022,03,25
5,6,Pará,202203,2022,03,27
6,7,Amapá,202203,2022,03,32.9
7,8,Tocantins,202203,2022,03,18.5
8,9,Maranhão,202203,2022,03,16.8
9,10,Piauí,202203,2022,03,19.6
10,11,Ceará,202203,2022,03,33.4
11,12,Rio Grande do Norte,202203,2022,03,16.1
12,13,Paraíba,202203,2022,03,13.9
13,14,Pernambuco,202203,2022,03,16.1
14,15,Alagoas,202203,2022,03,17.9
15,16,Sergipe,202203,2022,03,11.4
16,17,Bahia,202203,2022,03,21.4
17,18,Minas Gerais,202203,2022,03,19.4
18,19,Espírito Santo,202203,2022,03,23.5
19,20,Rio de Janeiro,202203,2022,03,9.7
20,21,São Paulo,202203,2022,03,16
21,22,Paraná,202203,2022,03,20.7
22,23,Santa Catarina,202203,2022,03,22.7
23,24,Rio Grande do Sul,202203,2022,03,19.8
24,25,Mato Grosso do Sul,202203,2022,03,24.7
25,26,Mato Grosso,202203,2022,03,20.1
26,27,Goiás,202203,2022,03,25.5
27,28,Distrito Federal,202203,2022,03,35.3
